scenario,num_samples,end_to_end_success_rate,recover_success_rate,avg_attempts,avg_latency_ms,num_failures,delta_end_to_end_success_rate_vs_baseline,delta_recover_success_rate_vs_baseline
baseline,52.0,0.46153846153846156,0.2692307692307692,2.5384615384615383,671.6783228939926,31.0,0.0,0.0
tool_newly_added,52.0,0.5961538461538461,0.4423076923076923,2.5576923076923075,702.6679916719139,29.0,0.13461538461538458,0.17307692307692307
tool_offline,52.0,0.15384615384615385,0.15384615384615385,2.980769230769231,785.7567157666955,48.0,-0.3076923076923077,-0.11538461538461536
tool_replaced,52.0,0.5769230769230769,0.36538461538461536,2.3846153846153846,641.5902524565025,23.0,0.11538461538461531,0.09615384615384615
