scenario,num_samples,end_to_end_success_rate,recover_success_rate,avg_attempts,avg_latency_ms,num_failures,delta_end_to_end_success_rate_vs_baseline,delta_recover_success_rate_vs_baseline
baseline,52.0,0.40384615384615385,0.23076923076923078,2.5576923076923075,704.8952597387531,35.0,0.0,0.0
tool_newly_added,52.0,0.5576923076923077,0.4423076923076923,2.5961538461538463,733.1929287640226,32.0,0.15384615384615385,0.2115384615384615
tool_offline,52.0,0.15384615384615385,0.15384615384615385,2.9423076923076925,781.2027718163251,48.0,-0.25,-0.07692307692307693
tool_replaced,52.0,0.5192307692307693,0.3076923076923077,2.4038461538461537,681.0500815443249,27.0,0.11538461538461542,0.07692307692307693
