variant,num_samples,end_to_end_success_rate,recover_success_rate,avg_attempts,avg_latency_ms,num_failures,delta_end_to_end_success_rate_vs_full,delta_recover_success_rate_vs_full
full,52.0,0.46153846153846156,0.2692307692307692,2.5384615384615383,671.6783228939926,31.0,0.0,0.0
w_o_calibration,52.0,0.46153846153846156,0.2692307692307692,2.5384615384615383,671.6783228939926,31.0,0.0,0.0
w_o_multimodal,52.0,0.46153846153846156,0.3269230769230769,2.5384615384615383,687.7069872145532,31.0,0.0,0.05769230769230771
w_o_recover,52.0,0.23076923076923078,0.0,1.0,260.6926930097793,42.0,-0.23076923076923078,-0.2692307692307692
w_o_retrieval,52.0,0.6346153846153846,0.4423076923076923,2.0,543.2226441169653,29.0,0.17307692307692302,0.17307692307692307
w_o_unknown_detection,52.0,0.46153846153846156,0.2692307692307692,2.5384615384615383,671.6783228939926,31.0,0.0,0.0
