variant,num_samples,end_to_end_success_rate,recover_success_rate,avg_attempts,avg_latency_ms,num_failures,delta_end_to_end_success_rate_vs_full,delta_recover_success_rate_vs_full
full,52.0,0.40384615384615385,0.23076923076923078,2.5576923076923075,704.8952597387531,35.0,0.0,0.0
w_o_calibration,52.0,0.40384615384615385,0.23076923076923078,2.5576923076923075,704.8952597387531,35.0,0.0,0.0
w_o_multimodal,52.0,0.40384615384615385,0.3269230769230769,2.6923076923076925,741.2422146185235,35.0,0.0,0.09615384615384615
w_o_recover,52.0,0.2692307692307692,0.0,1.0,268.08374866441034,43.0,-0.13461538461538464,-0.23076923076923078
w_o_retrieval,52.0,0.6346153846153846,0.46153846153846156,2.0,549.8067308336381,29.0,0.23076923076923073,0.23076923076923078
w_o_unknown_detection,52.0,0.40384615384615385,0.23076923076923078,2.5576923076923075,704.8952597387531,35.0,0.0,0.0
